path,quality_score,decision,labels,blur_lap_var,brightness_mean,contrast_rms,sat_low_ratio,sat_high_ratio,noise_hf
C:\Users\ALI\Desktop\indirilen fotolar\8_SAMSUNG-GALAXY-A6_M.jpg,84,reject,blurred|low_contrast,81.197,144.013,24.736,0.00000,0.00000,0.02672
C:\Users\ALI\Desktop\indirilen fotolar\8b474f0900.jpg,68,reject,dark|low_contrast|underexposed|noisy,23049.482,48.344,33.737,0.08717,0.00000,0.49442
C:\Users\ALI\Desktop\indirilen fotolar\8c9f6aadda.jpg,72,accept,dark|noisy,22247.568,60.628,45.108,0.07336,0.00000,0.47722
C:\Users\ALI\Desktop\indirilen fotolar\8d0166c8e6.jpg,67,reject,dark|low_contrast|underexposed|noisy,23429.425,48.306,34.007,0.08906,0.00000,0.49876
C:\Users\ALI\Desktop\indirilen fotolar\8f89f4ac94.jpg,71,accept,dark|noisy,21521.035,57.143,41.985,0.07476,0.00000,0.47053
C:\Users\ALI\Desktop\indirilen fotolar\90_HONOR-7X_M.jpg,89,reject,blurred,77.092,145.324,48.279,0.00000,0.00413,0.02220
C:\Users\ALI\Desktop\indirilen fotolar\91_HONOR-7X_M.jpg,74,reject,blurred,54.783,114.610,76.942,0.00000,0.05903,0.01733
C:\Users\ALI\Desktop\indirilen fotolar\92_IPHONE-7_M.jpeg,90,reject,blurred,84.712,131.142,57.477,0.00000,0.00701,0.02519
C:\Users\ALI\Desktop\indirilen fotolar\93_HONOR-7X_M.jpg,60,reject,blurred|overexposed,58.844,107.232,84.463,0.01645,0.15174,0.01539
C:\Users\ALI\Desktop\indirilen fotolar\94_HONOR-7X_M.jpg,76,reject,blurred,33.453,92.671,76.295,0.00000,0.01254,0.01355
C:\Users\ALI\Desktop\indirilen fotolar\95_HONOR-7X_M.jpg,84,reject,blurred|dark,78.814,55.600,57.145,0.00006,0.02552,0.01964
C:\Users\ALI\Desktop\indirilen fotolar\96_HONOR-7X_M.jpg,98,reject,blurred,114.632,105.968,41.556,0.00000,0.00616,0.02429
C:\Users\ALI\Desktop\indirilen fotolar\97_HONOR-7X_M.jpg,89,reject,blurred|low_contrast,91.136,128.354,30.238,0.00000,0.00703,0.02582
C:\Users\ALI\Desktop\indirilen fotolar\98_HONOR-7X_M.jpg,87,reject,blurred,77.600,117.825,55.145,0.00001,0.01375,0.02573
C:\Users\ALI\Desktop\indirilen fotolar\99_HONOR-7X_M.jpg,83,reject,overexposed,247.823,94.803,84.332,0.02430,0.08667,0.02608
C:\Users\ALI\Desktop\indirilen fotolar\99aca21901.jpg,78,accept,dark|noisy,22440.490,69.888,40.330,0.04341,0.00000,0.47755
C:\Users\ALI\Desktop\indirilen fotolar\9_HUAWEI-P20_M.jpg,76,reject,blurred,27.886,84.450,45.789,0.00064,0.00323,0.01417
C:\Users\ALI\Desktop\indirilen fotolar\9b7e7484b6.jpg,74,accept,dark|noisy,23012.437,59.586,38.155,0.05790,0.00000,0.48988
C:\Users\ALI\Desktop\indirilen fotolar\9be807ffb0.jpg,73,accept,dark|noisy,21299.752,56.949,37.484,0.06306,0.00000,0.47507
C:\Users\ALI\Desktop\indirilen fotolar\9daf551031.jpg,67,reject,dark|low_contrast|underexposed|noisy,23108.720,47.935,33.634,0.08885,0.00000,0.49465
C:\Users\ALI\Desktop\indirilen fotolar\9e8313914a.jpg,69,accept,dark|low_contrast|noisy,23327.118,50.639,34.516,0.07984,0.00000,0.49740
C:\Users\ALI\Desktop\indirilen fotolar\9e8816a30c.jpg,72,accept,dark|noisy,23679.601,53.887,35.568,0.07053,0.00000,0.50063
C:\Users\ALI\Desktop\indirilen fotolar\Images (10).jpg,100,accept,,521.923,133.221,68.020,0.00038,0.00000,0.03087
C:\Users\ALI\Desktop\indirilen fotolar\Images (104).jpg,100,accept,,126.461,147.673,60.350,0.00001,0.00010,0.01521
C:\Users\ALI\Desktop\indirilen fotolar\Images (109).jpg,33,reject,blurred|dark|low_contrast|underexposed,32.807,16.021,12.668,0.37410,0.00001,0.00440
C:\Users\ALI\Desktop\indirilen fotolar\Images (110).jpg,100,accept,,123.071,150.603,59.987,0.00000,0.00025,0.01709
C:\Users\ALI\Desktop\indirilen fotolar\Images (111).jpg,54,reject,blurred|too_bright|low_contrast|overexposed,89.830,240.257,24.828,0.00000,0.65724,0.01061
C:\Users\ALI\Desktop\indirilen fotolar\Images (13).jpg,33,reject,blurred|too_bright|low_contrast|overexposed,25.897,246.103,18.336,0.00000,0.74720,0.00668
C:\Users\ALI\Desktop\indirilen fotolar\Images (18).jpg,72,reject,blurred,12.103,86.261,52.701,0.00573,0.00000,0.00678
C:\Users\ALI\Desktop\indirilen fotolar\Images (19).jpg,70,reject,blurred,4.891,83.737,52.192,0.00572,0.00000,0.00501
C:\Users\ALI\Desktop\indirilen fotolar\Images (2).jpg,98,accept,,285.075,153.507,52.486,0.00000,0.01149,0.03473
C:\Users\ALI\Desktop\indirilen fotolar\Images (30).jpg,52,reject,blurred,7.223,98.038,89.370,0.07126,0.05512,0.00612
C:\Users\ALI\Desktop\indirilen fotolar\Images (32).jpg,43,reject,blurred|too_bright|overexposed,9.766,216.144,46.236,0.00000,0.47055,0.00521
C:\Users\ALI\Desktop\indirilen fotolar\Images (33).jpg,51,reject,blurred|overexposed,23.087,132.881,84.404,0.00000,0.22591,0.00905
C:\Users\ALI\Desktop\indirilen fotolar\Images (4).jpg,61,reject,blurred|dark|low_contrast,45.036,33.033,22.592,0.05119,0.00000,0.01295
C:\Users\ALI\Desktop\indirilen fotolar\bf910ea125.jpg,73,accept,dark|noisy,22358.950,56.820,37.549,0.06593,0.00000,0.48452
C:\Users\ALI\Desktop\indirilen fotolar\ec0b16bd10.jpg,70,accept,dark|noisy,23164.707,52.219,35.778,0.07741,0.00000,0.49447
C:\Users\ALI\Desktop\indirilen fotolar\noisy_127215712_ff5b654d07_c.jpg,67,reject,overexposed|noisy,19666.673,114.965,63.107,0.02452,0.09018,0.23939
C:\Users\ALI\Desktop\indirilen fotolar\noisy_144839343_db2326a111_c.jpg,76,accept,noisy,20065.652,112.099,64.264,0.02612,0.02946,0.24412
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2155556592_002af287a7_c.jpg,76,accept,noisy,21803.636,97.575,75.415,0.04902,0.02441,0.22368
C:\Users\ALI\Desktop\indirilen fotolar\noisy_220956201_bcf322a567_c.jpg,60,reject,overexposed|noisy,24350.477,146.707,87.351,0.04693,0.22674,0.25872
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2230229613_343b8e136c_c.jpg,73,accept,noisy,22582.002,104.457,70.650,0.02461,0.04989,0.28985
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2242646767_e4b1e97410_c.jpg,80,accept,noisy,16523.611,130.536,35.667,0.02493,0.02374,0.21849
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2285257066_188ee5a60d_c.jpg,60,reject,dark|underexposed|noisy,27706.419,69.876,70.941,0.20393,0.02621,0.34065
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2296844163_0f02ea244c_c.jpg,79,accept,noisy,17613.677,97.615,35.732,0.02435,0.02441,0.23093
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2308151492_b1c1167f17_c.jpg,62,reject,underexposed|noisy,21492.806,82.773,67.605,0.14127,0.02399,0.22300
C:\Users\ALI\Desktop\indirilen fotolar\noisy_236641496_40cf8ed020_c.jpg,76,accept,noisy,19761.061,128.571,56.013,0.02415,0.03119,0.26841
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2654419663_a3f0e11181_c.jpg,64,reject,overexposed|noisy,21751.361,130.537,79.111,0.03080,0.10558,0.24227
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2692263199_70056445d7_c.jpg,77,accept,noisy,20779.102,104.597,68.444,0.02411,0.02490,0.23959
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2884085528_1a3e080189_c.jpg,74,accept,noisy,22157.236,106.463,71.038,0.03866,0.02948,0.26517
C:\Users\ALI\Desktop\indirilen fotolar\noisy_2956357993_eb3a323205_c.jpg,79,accept,noisy,19142.272,94.987,55.913,0.02988,0.02600,0.22183
C:\Users\ALI\Desktop\indirilen fotolar\noisy_3039234748_1414597fb0_c.jpg,73,accept,noisy,22693.313,82.368,65.058,0.04033,0.03488,0.26144
C:\Users\ALI\Desktop\indirilen fotolar\noisy_311429107_06cdb4bc4e_c.jpg,60,reject,overexposed|noisy,24697.460,131.921,70.930,0.02493,0.17466,0.33840
C:\Users\ALI\Desktop\indirilen fotolar\noisy_3137903513_a1078fe62b_c.jpg,76,accept,noisy,20722.104,138.057,65.476,0.02434,0.03228,0.26099
C:\Users\ALI\Desktop\indirilen fotolar\noisy_3228569_786489110d_c.jpg,73,accept,noisy,22515.737,71.548,63.384,0.05824,0.03213,0.22057
C:\Users\ALI\Desktop\indirilen fotolar\quality_out\hist_accept_reject.png,68,reject,too_bright|overexposed,1507.044,237.300,42.566,0.01479,0.79641,0.03077
C:\Users\ALI\Desktop\indirilen fotolar\quality_out\hist_all.png,69,reject,too_bright|overexposed,1433.575,230.114,59.781,0.01338,0.84189,0.02821
C:\Users\ALI\Desktop\indirilen fotolar\quality_out\scores_sorted_curve.png,64,reject,too_bright|low_contrast|overexposed,1306.352,250.038,32.078,0.01207,0.96787,0.02569
